water neutral 193 45
tuna healthy 226 96
lentil healthy 178 60
whip unhealthy 136 21
blood unhealthy 116 12
pop neutral 268 167
dough neutral 114 14
kiwi healthy 142 46
crust neutral 121 32
soda unhealthy 145 57
flax healthy 102 16
fat unhealthy 402 317
heart neutral 353 270
grain healthy 290 208
mash neutral 128 47
quesadilla unhealthy 218 137
appetizer neutral 308 227
beet healthy 150 70
dress neutral 115 36
swiss neutral 236 157
noodle neutral 294 215
chill neutral 104 26
stomach neutral 108 30
grape healthy 130 52
platter neutral 120 44
celery healthy 224 148
lox healthy 95 20
rye healthy 92 18
dip neutral 212 138
salt neutral 293 220
bran healthy 110 38
ravioli neutral 190 118
raisin neutral 100 29
pepperoni unhealthy 156 85
jelly unhealthy 192 121
popcorn neutral 274 203
meatball neutral 162 92
croissant unhealthy 246 176
casserole neutral 352 282
pita neutral 183 114
coke unhealthy 85 17
cod healthy 175 107
pastry unhealthy 201 133
entree neutral 157 90
brisket unhealthy 211 144
stew neutral 267 200
cocktail unhealthy 273 206
vanilla neutral 348 281
jalapeno healthy 129 63
pomegranate healthy 141 75
sugar unhealthy 392 326
rib neutral 223 158
savory neutral 287 222
syrup unhealthy 349 284
sesame healthy 188 124
bake neutral 299 235
dog neutral 305 241
chip unhealthy 312 248
carrot healthy 316 252
barbecue unhealthy 125 62
pear healthy 214 151
frozen unhealthy 242 179
cauliflower healthy 321 258
fast unhealthy 336 273
cupcake unhealthy 138 76
oyster healthy 143 81
walnut healthy 164 102
breast healthy 266 204
oat neutral 122 61
seafood neutral 362 301
tenderloin neutral 99 39
cookie unhealthy 265 205
scramble healthy 291 231
cabbage healthy 323 263
shake unhealthy 365 305
biscuit unhealthy 310 251
houmous healthy 558 499
caramel unhealthy 229 171
tortilla neutral 283 225
lasagna unhealthy 329 271
nachos unhealthy 240 183
bean healthy 370 313
chick neutral 186 130
grapefruit healthy 209 153
mustard neutral 284 228
guacamole healthy 288 232
hummus healthy 325 269
pot neutral 358 302
fennel neutral 105 50
buttermilk neutral 225 170
romaine healthy 77 23
candy unhealthy 231 177
eggplant healthy 250 196
ice neutral 343 289
citrus healthy 139 86
ground unhealthy 247 194
meatloaf neutral 262 209
burrito unhealthy 375 322
bagel neutral 388 335
almond healthy 393 340
orange healthy 424 371
trout healthy 65 13
peanut healthy 412 360
vinegar neutral 70 19
