houmous healthy 568 518
sorbet unhealthy 407 360
clove healthy 469 426
jello unhealthy 430 389
apricot healthy 341 302
anchovy healthy 455 416
tonic unhealthy 381 343
halibut neutral 314 278
rhubarb healthy 328 292
watermelon healthy 186 151
shish neutral 473 439
custard unhealthy 403 370
boysenberry healthy 515 482
herb neutral 174 143
mutton neutral 505 474
brandy unhealthy 444 414
shell healthy 313 285
fillet neutral 391 363
marionberry healthy 563 536
doughnut unhealthy 285 259
kohlrabi healthy 494 468
currant neutral 521 495
peach healthy 188 163
parsley healthy 260 236
fava healthy 451 428
sweetcorn neutral 454 431
popsicle unhealthy 457 434
pate unhealthy 461 438
sweetbread neutral 510 487
donut unhealthy 190 168
bass healthy 325 303
tartar unhealthy 397 375
budweiser unhealthy 492 470
crisp unhealthy 295 274
horseradish healthy 339 318
relish unhealthy 357 336
jicama healthy 399 378
nectarine healthy 464 443
sustenance neutral 481 460
mint neutral 212 192
pasty unhealthy 486 466
breadstick neutral 527 507
seaweed healthy 308 289
koolaid unhealthy 449 430
monkfish healthy 477 458
spareribs neutral 482 463
bourbon unhealthy 231 213
wing unhealthy 344 326
gingerale unhealthy 512 494
carbohydrate neutral 540 522
mullet healthy 543 525
jam unhealthy 173 156
hamburger unhealthy 245 228
sourdough unhealthy 250 233
pretzel neutral 272 255
scone unhealthy 329 312
okra healthy 346 329
bamboo healthy 421 404
dandelion neutral 471 454
chicory neutral 544 527
season neutral 197 181
crepe unhealthy 246 230
clam healthy 262 246
hotdog unhealthy 270 254
flour neutral 277 261
guava healthy 374 358
wafer neutral 520 504
partridge neutral 556 540
gelatin neutral 561 545
mango neutral 108 93
lime healthy 140 125
raspberry healthy 155 140
glaze neutral 268 253
whiskey unhealthy 282 267
trout healthy 287 272
sherry unhealthy 420 405
ceasar healthy 452 437
dragonfruit healthy 479 464
sherbet unhealthy 559 544
dill neutral 240 226
scallion healthy 355 341
carmel unhealthy 365 351
crayfish neutral 517 503
offal neutral 535 521
submarine neutral 564 550
garden neutral 120 107
cherry healthy 162 149
cranberry healthy 208 195
artichoke healthy 219 206
pea healthy 258 245
juicy neutral 276 263
icee unhealthy 547 534
subway healthy 177 165
